n,m,t,mean_loss,se_loss
30,200,0,2.007184648513794,0.00266441708890314
30,200,1,1.464925265312195,0.002619405340609399
30,200,2,1.2485340118408204,0.0016434979019606388
30,200,3,1.2396100521087647,0.00267127866535006
30,200,4,1.1783838033676148,0.0020294673242826806
30,200,5,1.1944702863693237,0.002441538084173149
30,200,6,1.1682504653930663,0.0020076778014627155
30,200,7,1.1997371912002563,0.005499331805232931
30,200,8,1.1997644901275635,0.01135801557089127
30,200,9,1.265946125984192,0.025580841082971095
30,200,10,1.3241754293441772,0.05023104822308941
30,200,11,1.5006220579147338,0.1034973441085238
30,200,12,1.7564793348312377,0.20270209713316578
30,200,13,2.327904200553894,0.4128101343236725
30,200,14,3.3359137296676638,0.8257460757843201
30,200,15,5.428507614135742,1.6990756459707324
30,200,16,9.450944089889527,3.481641995698153
30,200,17,17.70504550933838,7.270295240549497
30,200,18,34.25225143432617,15.199630287707512
30,200,19,68.3921552658081,32.15936603633293
30,200,20,138.46985664367676,68.22350694020247
30,200,21,284.3952182769775,145.80433725061758
10,10000,0,2.000739574432373,0.005502767008258406
10,10000,1,1.6802449464797973,0.00531770752162066
10,10000,2,1.6316354751586915,0.005177346935313611
10,10000,3,1.6182989358901978,0.005213308123367443
10,10000,4,1.612883448600769,0.005247251063295513
10,10000,5,1.6110388517379761,0.005318560213060543
10,10000,6,1.6101535558700562,0.005454423996987396
10,10000,7,1.6101425170898438,0.005657479659963445
10,10000,8,1.610452938079834,0.006062997536269197
10,10000,9,1.6113454341888427,0.006721538347374201
10,10000,10,1.612856388092041,0.00800540143218006
10,10000,11,1.6154091835021973,0.010172790281282122
10,10000,12,1.6196786403656005,0.014159622706440868
10,10000,13,1.6266199827194214,0.020757430077204615
10,10000,14,1.6383154153823853,0.03224773687180224
10,10000,15,1.6574231386184692,0.051077235565308715
10,10000,16,1.6896913766860961,0.08318011712039816
10,10000,17,1.7428993701934814,0.13609935830551076
10,10000,18,1.8327686786651611,0.225768390919822
10,10000,19,1.9820993900299073,0.374719248966587
10,10000,20,2.2342604875564573,0.6265723279167718
10,10000,21,2.65559561252594,1.0473499660245615
30,10000,0,1.9970712661743164,0.0020958268525633986
30,10000,1,1.2596056699752807,0.0008508871451198138
30,10000,2,1.0846595525741578,0.0010775985531782956
30,10000,3,1.0043543815612792,0.001362978561760351
30,10000,4,0.9569564461708069,0.0014960119546460642
30,10000,5,0.9270907282829285,0.0016096392503885339
30,10000,6,0.9068065047264099,0.001691287121953433
30,10000,7,0.893936038017273,0.0018083368199495276
30,10000,8,0.8866863131523133,0.001985363965890003
30,10000,9,0.8859511852264405,0.0025308705629338586
30,10000,10,0.8931908011436462,0.004545697064172057
30,10000,11,0.913512921333313,0.0105026087092986
30,10000,12,0.9561769485473632,0.025878708052947747
30,10000,13,1.0410999655723572,0.06203278013235017
30,10000,14,1.2081776857376099,0.14654615432652432
30,10000,15,1.5400827884674073,0.33848547866144263
30,10000,16,2.210324025154114,0.7744589418092944
30,10000,17,3.583646059036255,1.75224826366066
30,10000,18,6.442455315589905,3.944534168088897
30,10000,19,12.460110855102538,8.830139887122558
30,10000,20,25.267243480682374,19.712068577760835
30,10000,21,52.725690078735354,43.87650161168874
100,10000,0,2.001106381416321,0.005520063780636358
100,10000,1,0.6809632658958436,0.0010724715177232106
100,10000,2,0.3845077931880951,0.0005859146963413
100,10000,3,0.2529546499252319,0.00043485622403939604
100,10000,4,0.17936599254608154,0.0004107707967938021
100,10000,5,0.13344043791294097,0.00031066364932452473
100,10000,6,0.10273941904306412,0.00032656427216566446
100,10000,7,0.08126882016658783,0.00030942271981909415
100,10000,8,0.0658398523926735,0.0003747191109140728
100,10000,9,0.054513299465179445,0.00045783847129164565
100,10000,10,0.046161112189292905,0.0005840533829116208
100,10000,11,0.04000908955931663,0.0007763092222034963
100,10000,12,0.03559568375349045,0.0010165567436263697
100,10000,13,0.03261394947767258,0.001386528754294587
100,10000,14,0.030886694416403772,0.001864031872690528
100,10000,15,0.03037189245223999,0.002582052417480775
100,10000,16,0.031069882959127427,0.003553681634428102
100,10000,17,0.03317482620477676,0.004986191012562845
100,10000,18,0.03687978610396385,0.006989390361485625
100,10000,19,0.04270023703575134,0.009913944010856483
100,10000,20,0.05115119926631451,0.01408612152420599
100,10000,21,0.06330434456467629,0.020161849971038617
200,10000,0,1.9954605102539062,0.005166150158919688
200,10000,1,0.4083202838897705,0.0015431863849380502
200,10000,2,0.15113954544067382,0.0007990342491914809
200,10000,3,0.06752911508083344,0.0003717563009174581
200,10000,4,0.03380996733903885,0.00022999412413878242
200,10000,5,0.01821734569966793,0.00011803572646639394
200,10000,6,0.010697423852980137,8.545733373361438e-05
200,10000,7,0.006729335803538561,5.3329517237668004e-05
200,10000,8,0.004665194824337959,4.5423583329760535e-05
200,10000,9,0.0034875993616878985,3.87631529389736e-05
200,10000,10,0.0028491046745330096,3.621564675017993e-05
200,10000,11,0.002463473891839385,3.596028968753387e-05
200,10000,12,0.0022474898491054774,3.457216189920147e-05
200,10000,13,0.0021114576142281295,3.538280374907874e-05
200,10000,14,0.0020316441077739,3.446077647288927e-05
200,10000,15,0.001980583160184324,3.5308301362025634e-05
200,10000,16,0.0019476401386782527,3.467952740058236e-05
200,10000,17,0.0019274546764791011,3.540567747377401e-05
200,10000,18,0.001911684894002974,3.4979946022521874e-05
200,10000,19,0.001903435797430575,3.557910825475e-05
200,10000,20,0.0018944338196888566,3.529647051248096e-05
200,10000,21,0.0018911028746515512,3.578595449648332e-05
400,10000,0,2.003916025161743,0.0032478408262636843
